age,experience_years,daily_work_hours,sleep_hours,caffeine_intake,bugs_per_day,commits_per_day,meetings_per_day,screen_time,exercise_hours,stress_level,burnout_level,work_sleep_ratio,active_hours,bug_commit_ratio,burnout_encoded
32,18,10.45,7.09,1,17,22,2,13.99,1.04,53.745000000000005,Medium,1.4534,11.49,0.7692,2
20,4,11.28,8.39,3,0,17,7,14.68,1.39,23.31,Low,1.3286,12.67,0.0,1
44,17,8.78,6.25,0,3,2,6,12.67,0.46,34.76,Low,1.3827,9.24,1.4286,1
26,19,9.05,4.61,1,3,2,3,10.59,1.5,30.82,Low,1.9214,10.55,1.4286,1
28,11,12.51,5.89,6,16,0,4,12.01,1.74,84.17,High,2.0885,14.25,160.0,0
43,16,10.81,4.68,0,1,16,7,11.98,1.63,38.74,Medium,2.2615,12.44,0.0621,2
20,12,12.97,4.08,5,14,9,9,16.53,0.52,100.0,High,3.1029,13.49,1.5385,0
31,1,12.91,7.76,4,12,26,6,16.37,1.61,94.11,High,1.6425,14.52,0.4598,0
27,12,13.76,5.19,4,8,5,9,15.59,0.83,92.27,High,2.6011,14.59,1.5686,0
43,6,11.0,4.01,0,6,24,9,12.16,0.53,66.48,Medium,2.6764,11.53,0.249,2
30,9,9.02,8.36,5,11,24,1,10.58,0.34,47.32,Medium,1.0662,9.36,0.4564,2
38,5,5.66,6.22,4,11,10,7,7.75,1.82,46.08,Medium,0.8956,7.48,1.0891,2
36,2,11.05,5.19,4,13,13,7,15.58,0.85,100.0,High,2.0888,11.9,0.9924,0
27,2,6.92,5.31,4,14,16,8,11.34,1.73,61.98,Medium,1.2791,8.65,0.8696,2
22,17,6.83,5.2,2,0,27,1,8.09,0.32,23.62,Low,1.2887,7.15,0.0,1
22,10,6.38,4.97,5,8,6,3,8.54,1.53,27.37,Low,1.2584,7.91,1.3115,1
20,19,12.75,8.21,7,15,21,1,17.31,0.22,69.62,Medium,1.5343,12.97,0.7109,2
24,4,12.68,4.85,2,8,3,3,12.01,0.04,66.59,Medium,2.5616,12.72,2.5806,2
29,18,10.31,6.81,0,15,10,2,15.29,1.99,35.54,Medium,1.492,12.3,1.4851,2
26,18,8.73,4.39,0,1,18,6,10.76,0.15,45.81,Medium,1.9443,8.88,0.0552,2
28,14,10.72,8.75,3,9,8,5,14.68,0.92,52.52,Medium,1.2113,11.64,1.1111,2
26,15,10.07,7.02,7,17,25,6,12.74,1.76,80.74,High,1.4143,11.83,0.6773,0
28,8,8.16,8.52,2,12,20,1,9.7,1.64,13.41,Low,0.9466,9.8,0.597,1
27,3,7.8,5.99,0,1,7,3,9.82,0.94,11.68,Low,1.2808,8.74,0.1408,1
31,14,7.83,8.05,7,12,19,5,11.53,1.22,49.9,Medium,0.9607,9.05,0.6283,2
21,11,9.89,8.27,2,2,3,4,12.24,1.26,18.4,Low,1.1816,11.15,0.6452,1
20,2,10.48,7.51,3,14,15,1,13.9,0.22,37.85,Medium,1.3771,10.7,0.9272,2
35,13,8.52,4.46,0,2,5,6,10.34,0.57,53.49,Medium,1.8684,9.09,0.3922,2
42,16,13.69,4.08,0,9,5,1,16.48,0.6,85.23,High,3.2751,14.29,1.7647,0
42,18,4.84,4.84,0,5,18,8,7.89,0.76,46.48,Medium,0.9798,5.6,0.2762,2
43,5,7.47,4.59,0,13,1,6,10.12,0.55,63.16,Medium,1.5928,8.02,11.8182,2
24,3,8.19,7.63,1,8,10,2,9.98,0.5,25.99,Low,1.0595,8.69,0.7921,1
22,6,4.17,6.79,5,17,24,5,7.02,0.71,70.82,High,0.6052,4.88,0.7054,0
31,18,7.65,6.63,5,9,17,4,11.42,0.76,54.65,Medium,1.1367,8.41,0.5263,2
27,16,6.74,5.26,2,5,8,8,11.6,0.97,37.59,Medium,1.2575,7.71,0.6173,2
41,15,9.06,4.77,2,14,27,2,13.22,0.35,77.57,High,1.8604,9.41,0.5166,0
22,14,7.36,5.03,7,13,15,1,9.01,1.58,53.43,Medium,1.4347,8.94,0.8609,2
20,7,11.26,6.0,7,14,10,1,13.35,1.72,81.9,High,1.8459,12.98,1.3861,0
22,18,9.1,7.7,2,19,13,3,10.42,0.5,79.14,High,1.1667,9.6,1.4504,0
24,7,5.3,5.27,3,5,7,0,6.84,0.25,13.55,Low,0.987,5.55,0.7042,1
34,17,11.5,7.49,6,11,26,8,13.5,1.44,76.99,High,1.5152,12.94,0.4215,0
33,10,4.99,6.46,1,9,12,2,6.79,1.85,18.34,Low,0.7607,6.84,0.7438,1
22,19,8.98,8.43,6,18,9,4,14.24,0.07,88.81,High,1.0528,9.05,1.978,0
20,18,13.31,5.16,2,7,22,5,15.23,0.03,56.48,Medium,2.5304,13.34,0.3167,2
24,9,7.22,6.25,7,4,11,7,9.42,0.37,53.37,Medium,1.137,7.59,0.3604,2
42,16,13.26,4.48,7,9,20,2,14.76,1.37,76.6,High,2.8952,14.63,0.4478,0
33,12,11.93,5.68,2,10,28,4,14.04,1.93,60.52,Medium,2.064,13.86,0.3559,2
26,12,13.22,6.53,0,19,2,6,16.97,1.5,72.74,High,1.994,14.72,9.0476,0
28,6,10.66,7.66,7,13,1,1,12.61,1.02,57.58,Medium,1.3737,11.68,11.8182,2
34,9,6.36,4.99,6,13,10,2,8.05,1.4,70.27,High,1.2495,7.76,1.2871,0
34,1,12.95,5.09,7,1,23,7,14.22,0.46,83.65,High,2.4952,13.41,0.0433,0
29,3,5.84,7.16,0,16,17,9,8.84,1.38,49.5,Medium,0.8044,7.22,0.9357,2
32,5,6.13,5.91,7,14,23,7,10.5,0.64,72.19,High,1.02,6.77,0.6061,0
38,17,6.71,6.41,6,2,20,2,7.95,0.44,41.8,Medium,1.0307,7.15,0.0995,2
26,5,7.04,8.18,4,2,24,9,10.21,0.47,35.94,Medium,0.8502,7.51,0.083,2
36,16,9.14,6.5,0,2,3,6,12.74,1.34,51.86,Medium,1.3848,10.48,0.6452,2
39,13,11.13,7.26,2,2,7,1,14.5,1.53,19.28,Low,1.5122,12.66,0.2817,1
23,10,13.26,7.28,0,17,28,8,17.77,1.16,85.48,High,1.7967,14.42,0.605,0
24,10,4.88,8.02,2,5,10,7,9.35,0.13,21.9,Low,0.601,5.01,0.495,1
42,1,13.54,7.19,6,13,14,5,14.77,0.08,100.0,High,1.8573,13.62,0.922,0
26,2,13.21,4.32,3,2,22,8,15.65,0.43,69.56,Medium,2.9887,13.64,0.0905,2
32,10,4.54,5.71,3,0,27,6,8.22,0.57,31.65,Low,0.7814,5.11,0.0,1
34,5,7.6,8.95,4,9,23,3,12.41,0.81,31.31,Low,0.8398,8.41,0.3896,1
30,13,12.13,4.98,7,12,20,4,16.35,0.15,91.36,High,2.3878,12.28,0.597,0
23,18,10.12,6.93,1,8,1,6,11.83,1.45,63.48,Medium,1.4395,11.57,7.2727,2
32,15,11.79,8.21,0,1,22,4,13.91,1.42,37.83,Medium,1.4188,13.21,0.0452,2
26,6,11.19,6.93,5,9,18,9,15.24,0.69,92.55,High,1.5917,11.88,0.4972,0
38,7,8.97,5.86,0,11,14,7,11.86,1.13,69.2,Medium,1.505,10.1,0.7801,2
41,18,4.41,4.4,1,18,28,4,7.6,0.2,79.65,High,0.98,4.61,0.6406,0
21,19,9.84,5.81,7,2,25,4,13.28,0.83,63.34,Medium,1.665,10.67,0.0797,2
29,15,4.49,4.91,7,18,25,4,5.9,1.72,57.44,Medium,0.8962,6.21,0.7171,2
32,6,8.98,8.8,6,0,25,3,14.46,1.32,30.01,Low,1.009,10.3,0.0,1
44,8,12.0,7.58,1,14,27,6,16.45,0.21,93.99,High,1.5625,12.21,0.5166,0
40,12,8.98,7.75,6,12,26,1,12.72,1.7,51.96,Medium,1.1439,10.68,0.4598,2
25,0,13.97,6.18,4,6,25,9,17.48,1.36,90.61,High,2.2245,15.33,0.239,0
31,7,8.56,4.55,1,1,12,3,12.2,0.91,45.25,Medium,1.8409,9.47,0.0826,2
31,3,11.49,5.33,2,19,1,2,13.25,1.38,74.21,High,2.116,12.87,17.2727,0
39,2,10.67,5.3,0,10,2,9,12.12,0.35,68.94,Medium,1.9759,11.02,4.7619,2
30,2,13.91,6.43,1,15,29,7,14.99,1.1,97.54,High,2.1302,15.01,0.5155,0
42,12,11.13,6.3,2,13,13,6,15.78,1.24,67.87,Medium,1.7391,12.37,0.9924,2
44,7,5.64,6.17,1,14,19,2,8.02,1.86,45.92,Medium,0.8995,7.5,0.733,2
26,6,13.56,6.48,5,19,25,3,14.9,0.13,74.28,High,2.0608,13.69,0.757,0
20,0,10.68,8.94,2,18,12,3,13.54,0.75,58.43,Medium,1.1814,11.43,1.4876,2
20,10,4.59,5.49,3,6,26,9,5.89,1.87,40.25,Medium,0.8211,6.46,0.2299,2
44,5,10.58,7.08,7,8,22,6,11.92,0.43,64.74,Medium,1.4735,11.01,0.362,2
32,6,12.83,5.2,2,3,25,7,15.79,1.63,81.52,High,2.4208,14.46,0.1195,0
39,11,8.98,6.33,4,5,15,3,12.81,0.0,53.93,Medium,1.3966,8.98,0.3311,2
32,8,7.54,5.0,6,9,11,7,10.86,0.05,63.01,Medium,1.4784,7.59,0.8108,2
28,10,12.21,6.79,2,2,0,0,15.84,0.66,42.35,Medium,1.7721,12.87,20.0,2
26,0,9.44,4.18,3,5,12,6,12.01,0.21,69.95,Medium,2.2056,9.65,0.4132,2
25,17,5.54,8.08,7,4,21,3,9.11,0.77,37.09,Medium,0.6773,6.31,0.1896,2
27,3,6.51,4.64,7,14,23,7,8.73,0.26,75.52,High,1.3734,6.77,0.6061,0
28,4,11.38,5.84,3,10,1,9,14.15,0.45,85.54,High,1.9158,11.83,9.0909,0
24,8,12.06,6.39,2,19,17,1,14.63,1.01,64.71,Medium,1.8582,13.07,1.1111,2
20,16,6.79,6.16,1,12,16,7,9.11,0.64,46.82,Medium,1.0847,7.43,0.7453,2
38,2,7.68,7.63,7,5,18,9,9.63,0.42,68.6,Medium,0.9935,8.1,0.2762,2
29,15,4.78,6.98,3,4,22,5,6.09,0.79,21.16,Low,0.6751,5.57,0.181,1
31,4,11.13,5.48,5,1,14,6,14.15,1.4,80.33,High,1.9946,12.53,0.0709,0
43,15,4.04,4.26,2,16,7,6,7.19,0.24,62.99,Medium,0.9266,4.28,2.2535,2
34,2,4.47,6.46,2,11,22,1,6.81,0.96,5.05,Low,0.6814,5.43,0.4977,1
41,19,4.04,5.76,6,11,8,1,8.94,0.55,55.71,Medium,0.6894,4.59,1.358,2
43,14,10.45,8.45,7,13,7,3,13.68,0.76,50.56,Medium,1.2222,11.21,1.831,2
28,2,8.17,5.98,7,6,7,5,12.73,1.64,47.09,Medium,1.3438,9.81,0.8451,2
39,19,6.98,7.59,7,13,10,3,10.26,1.86,47.17,Medium,0.9077,8.84,1.2871,2
36,13,13.13,8.7,2,9,17,5,14.89,0.49,63.74,Medium,1.492,13.62,0.5263,2
36,15,5.93,7.26,3,8,16,4,10.83,1.26,23.32,Low,0.8057,7.19,0.4969,1
39,16,7.89,6.07,0,13,21,5,12.43,1.35,50.73,Medium,1.2788,9.24,0.6161,2
31,19,13.4,6.84,1,16,22,8,16.29,1.68,100.0,High,1.9308,15.08,0.724,0
26,17,8.27,6.72,4,16,5,5,10.24,1.8,75.15,High,1.2126,10.07,3.1373,0
21,17,9.55,6.92,4,12,22,5,11.44,0.94,81.8,High,1.3604,10.49,0.543,0
22,13,4.8,4.73,7,17,23,7,9.02,1.97,56.74,Medium,0.9938,6.77,0.7359,2
36,17,11.9,7.49,1,18,1,4,13.18,1.94,73.98,High,1.5679,13.84,16.3636,0
24,14,8.23,4.73,0,16,0,4,11.78,1.01,66.92,Medium,1.7039,9.24,160.0,2
36,14,12.01,4.07,6,5,9,9,15.57,1.08,70.3,High,2.8801,13.09,0.5495,0
43,5,6.54,7.12,6,11,7,0,8.27,1.34,29.61,Low,0.9058,7.88,1.5493,1
36,14,8.22,4.58,6,5,15,5,12.04,0.75,62.75,Medium,1.7564,8.97,0.3311,2
36,17,11.87,7.85,6,2,23,0,15.69,1.32,37.02,Medium,1.4931,13.19,0.0866,2
21,3,13.74,8.33,1,14,13,7,16.14,1.03,75.53,High,1.6299,14.77,1.0687,0
21,7,4.6,8.72,2,9,23,9,7.53,0.07,27.66,Low,0.5215,4.67,0.3896,1
41,14,12.12,7.32,5,14,15,8,16.45,1.71,98.03,High,1.6334,13.83,0.9272,0
42,2,7.01,6.41,1,0,13,5,10.1,1.88,20.09,Low,1.0768,8.89,0.0,1
24,14,9.51,5.76,1,2,25,8,12.98,0.05,33.76,Low,1.6229,9.56,0.0797,1
20,12,6.9,6.45,5,4,6,1,9.55,1.58,34.87,Low,1.0534,8.48,0.6557,1
20,8,10.13,4.95,3,13,17,8,11.73,0.77,71.24,High,2.0059,10.9,0.7602,0
38,1,7.54,5.74,4,3,19,3,12.53,1.17,21.1,Low,1.2911,8.71,0.1571,1
21,7,7.34,7.59,7,8,8,2,10.47,1.0,40.88,Medium,0.9545,8.34,0.9877,2
40,19,4.38,5.09,4,17,23,0,6.73,1.1,41.71,Medium,0.8439,5.48,0.7359,2
31,16,5.47,5.32,7,9,3,0,9.33,0.99,27.55,Low,1.0092,6.46,2.9032,1
25,12,13.17,7.75,2,7,23,7,16.65,1.71,73.59,High,1.6777,14.88,0.303,0
42,0,13.98,4.89,5,12,25,1,15.91,1.37,81.21,High,2.8016,15.35,0.4781,0
23,1,11.81,5.23,6,1,28,0,16.32,0.83,33.42,Low,2.2158,12.64,0.0356,1
42,14,6.87,4.09,6,19,15,1,8.15,1.38,54.86,Medium,1.6396,8.25,1.2583,2
32,11,8.02,7.6,2,19,21,2,11.44,1.93,45.83,Medium,1.0416,9.95,0.9005,2
32,13,11.4,7.09,3,6,10,3,14.31,0.16,55.98,Medium,1.5855,11.56,0.5941,2
36,1,13.69,7.47,2,10,8,8,15.96,0.78,77.97,High,1.8085,14.47,1.2346,0
25,17,8.55,5.07,5,4,16,6,12.86,1.74,32.0,Low,1.6538,10.29,0.2484,1
43,6,12.3,7.44,5,17,21,4,15.93,1.48,73.98,High,1.6313,13.78,0.8057,0
24,5,13.75,6.98,0,7,10,4,17.79,1.87,64.73,Medium,1.9421,15.62,0.6931,2
39,13,12.73,5.83,3,9,19,5,15.39,0.08,80.22,High,2.1467,12.81,0.4712,0
21,7,6.27,6.19,5,1,2,0,11.04,1.73,19.83,Low,0.9968,8.0,0.4762,1
25,1,4.08,6.84,5,2,20,5,12.01,1.58,22.61,Low,0.5879,5.66,0.0995,1
41,16,8.92,6.47,3,4,14,5,12.04,1.63,22.87,Low,1.3577,10.55,0.2837,1
30,4,9.31,7.21,6,15,10,4,14.04,1.19,59.74,Medium,1.2736,10.5,1.4851,2
35,13,6.01,4.9,1,9,7,9,7.34,1.02,64.45,Medium,1.202,7.03,1.2676,2
35,19,6.85,6.7,6,10,26,8,8.29,1.08,63.64,Medium,1.0074,7.93,0.3831,2
20,2,11.65,6.25,4,18,9,9,16.63,0.82,99.68,High,1.8346,12.47,1.978,0
28,4,8.7,6.31,0,15,5,9,13.59,1.05,80.57,High,1.3573,9.75,2.9412,0
25,15,7.17,6.35,6,11,16,4,11.26,1.48,62.38,Medium,1.1116,8.65,0.6832,2
35,17,10.23,8.41,5,1,5,8,13.17,1.19,30.72,Low,1.2021,11.42,0.1961,1
22,16,10.53,8.09,3,10,6,9,13.55,0.59,66.73,Medium,1.2857,11.12,1.6393,2
39,10,11.69,7.15,3,0,12,6,13.72,1.2,54.91,Medium,1.6124,12.89,0.0,2
23,16,5.57,7.58,7,4,5,2,8.3,0.17,33.08,Low,0.7253,5.74,0.7843,1
38,15,11.42,6.46,1,13,2,8,14.15,0.01,100.0,High,1.7409,11.43,6.1905,0
22,1,9.99,7.72,6,9,26,9,11.13,0.8,100.0,High,1.2775,10.79,0.3448,0
38,3,4.58,6.43,4,6,24,6,7.39,1.51,39.64,Medium,0.7014,6.09,0.249,2
26,1,7.83,4.7,5,7,9,8,11.49,1.1,71.94,High,1.6312,8.93,0.7692,0
39,5,7.3,4.38,1,14,25,5,10.37,1.74,75.7,High,1.6295,9.04,0.5578,0
28,16,8.48,6.46,5,4,3,8,12.93,0.25,53.745000000000005,High,1.2927,8.73,1.2903,0
20,6,7.46,4.81,2,12,4,3,9.93,1.93,49.79,Medium,1.5193,9.39,2.9268,2
27,4,7.38,4.15,3,18,20,9,10.02,1.84,95.2,High,1.7365,9.22,0.8955,0
26,10,12.08,7.66,6,1,18,1,15.37,1.2,43.63,Medium,1.5567,13.28,0.0552,2
37,19,5.25,5.24,6,4,27,8,12.01,0.12,53.745000000000005,Medium,0.9831,5.37,0.1476,2
27,15,13.71,5.84,5,4,17,9,16.28,0.91,84.06,High,2.3081,14.62,0.2339,0
20,18,9.55,8.11,0,5,14,3,13.29,0.36,19.31,Low,1.1632,9.91,0.3546,1
30,8,8.98,4.57,6,15,6,1,8.48,1.26,59.79,Medium,1.9229,10.24,2.459,2
44,4,5.31,8.18,4,1,20,6,9.94,0.38,19.62,Low,0.6413,5.69,0.0498,1
44,7,9.92,7.2,5,4,28,6,13.38,0.96,54.14,Medium,1.3589,10.88,0.1423,2
37,8,10.33,5.71,2,14,0,4,11.95,0.41,76.57,High,1.778,10.74,140.0,0
42,4,4.53,4.59,3,0,25,4,7.48,0.36,15.41,Low,0.9659,4.89,0.0,1
29,9,6.43,4.46,7,18,16,7,10.49,0.5,92.33,High,1.4101,6.93,1.118,0
22,1,11.95,5.68,6,2,23,5,15.52,0.06,66.97,Medium,2.0675,12.01,0.0866,2
26,8,4.5,4.7,7,18,19,0,9.04,1.43,46.19,Medium,0.9375,5.93,0.9424,2
35,10,12.55,5.34,2,14,28,3,16.55,0.61,48.28,Medium,2.307,13.16,0.4982,2
35,3,10.58,4.26,7,2,19,0,11.83,1.4,49.11,Medium,2.4266,11.98,0.1047,2
44,1,8.34,6.98,5,7,29,4,9.79,1.31,34.63,Low,1.178,9.65,0.2405,1
